lambda_vector;mu_a_Oxy;mu_a_Deoxy;mu_a_Fat;mu_a_Water;mu_a_Mel;mu_a_Baseline;mu_a_StratumCorneum;mu_a_Epidermis;mu_a_PapiDermis;mu_a_UpBloodDermis;mu_a_RetiDermis;mu_a_DeepBloodDermis;mu_a_FatDermis
863;0.000597456;5.97E-08;7.05E-05;5.07E-06;0.011031333;2.46E-05;1.48E-05;0.000240821;3.42E-05;0.000109528;3.03E-05;5.92E-05;8.58E-05
864;0.000600048;6.00E-08;7.24E-05;5.11E-06;0.010988873;2.46E-05;1.48E-05;0.000239978;3.43E-05;0.000109993;3.04E-05;5.95E-05;8.76E-05
865;0.000601992;6.02E-08;7.51E-05;5.15E-06;0.010946626;2.46E-05;1.49E-05;0.000239139;3.44E-05;0.000110348;3.05E-05;5.97E-05;8.99E-05
866;0.000603936;6.04E-08;7.86E-05;5.19E-06;0.01090459;2.46E-05;1.49E-05;0.000238305;3.44E-05;0.000110704;3.06E-05;5.99E-05;9.30E-05
867;0.000605232;6.05E-08;8.22E-05;5.24E-06;0.010862764;2.46E-05;1.49E-05;0.000237474;3.45E-05;0.000110949;3.06E-05;6.00E-05;9.61E-05
868;0.000606528;6.07E-08;8.60E-05;5.28E-06;0.010821146;2.46E-05;1.49E-05;0.000236649;3.46E-05;0.000111195;3.07E-05;6.02E-05;9.94E-05
869;0.000607824;6.08E-08;8.99E-05;5.32E-06;0.010779735;2.46E-05;1.49E-05;0.000235827;3.46E-05;0.00011144;3.08E-05;6.03E-05;0.00010278
870;0.00060912;6.09E-08;9.38E-05;5.36E-06;0.01073853;2.46E-05;1.50E-05;0.000235009;3.47E-05;0.000111685;3.09E-05;6.04E-05;0.000106155
871;0.000610416;6.10E-08;9.79E-05;5.41E-06;0.010697529;2.46E-05;1.50E-05;0.000234196;3.48E-05;0.000111931;3.09E-05;6.06E-05;0.000109699
872;0.000611712;6.12E-08;0.0001022;5.46E-06;0.010656732;2.46E-05;1.50E-05;0.000233388;3.48E-05;0.000112181;3.10E-05;6.07E-05;0.000113414
873;0.000613008;6.13E-08;0.0001074;5.51E-06;0.010616137;2.46E-05;1.50E-05;0.000232584;3.49E-05;0.000112431;3.11E-05;6.09E-05;0.000117894
874;0.000614304;6.14E-08;0.0001133;5.56E-06;0.010575742;2.46E-05;1.51E-05;0.000231785;3.50E-05;0.000112682;3.12E-05;6.10E-05;0.000122969
875;0.000615708;6.16E-08;0.0001198;5.61E-06;0.010535548;2.46E-05;1.51E-05;0.000230989;3.50E-05;0.000112951;3.12E-05;6.12E-05;0.000128559
876;0.000617112;6.17E-08;0.0001264;5.66E-06;0.010495551;2.46E-05;1.51E-05;0.000230196;3.51E-05;0.000113216;3.13E-05;6.13E-05;0.000134233
877;0.000618624;6.19E-08;0.0001345;5.70E-06;0.010455752;2.46E-05;1.51E-05;0.000229408;3.52E-05;0.0001135;3.14E-05;6.15E-05;0.000141187
878;0.000620136;6.20E-08;0.000143;5.75E-06;0.010416149;2.46E-05;1.52E-05;0.000228623;3.53E-05;0.000113784;3.15E-05;6.16E-05;0.000148481
879;0.000621648;6.22E-08;0.0001527;5.79E-06;0.010376741;2.45E-05;1.52E-05;0.000227842;3.53E-05;0.000114068;3.16E-05;6.18E-05;0.000156795
880;0.00062316;6.23E-08;0.0001636;5.83E-06;0.010337527;2.45E-05;1.52E-05;0.000227063;3.54E-05;0.000114347;3.17E-05;6.20E-05;0.000166128
881;0.000624672;6.25E-08;0.0001752;5.87E-06;0.010298504;2.45E-05;1.52E-05;0.000226289;3.55E-05;0.000114625;3.17E-05;6.21E-05;0.000176056
882;0.000626184;6.26E-08;0.0001867;5.90E-06;0.010259674;2.45E-05;1.52E-05;0.000225517;3.55E-05;0.000114903;3.18E-05;6.23E-05;0.000185899
883;0.000627696;6.28E-08;0.0001992;5.94E-06;0.010221033;2.45E-05;1.52E-05;0.00022475;3.56E-05;0.000115182;3.19E-05;6.24E-05;0.000196591
884;0.000629208;6.29E-08;0.0002121;5.98E-06;0.010182581;2.45E-05;1.53E-05;0.000223987;3.57E-05;0.00011546;3.20E-05;6.26E-05;0.000207624
885;0.000630504;6.31E-08;0.0002262;6.01E-06;0.010144318;2.45E-05;1.53E-05;0.000223227;3.57E-05;0.000115702;3.20E-05;6.27E-05;0.000219668
886;0.0006318;6.32E-08;0.0002414;6.06E-06;0.010106241;2.45E-05;1.53E-05;0.000222475;3.58E-05;0.000115953;3.21E-05;6.29E-05;0.000232648
887;0.00063288;6.33E-08;0.0002581;6.12E-06;0.010068349;2.45E-05;1.53E-05;0.000221726;3.59E-05;0.000116168;3.22E-05;6.30E-05;0.000246895
888;0.00063396;6.34E-08;0.0002754;6.17E-06;0.010030643;2.45E-05;1.54E-05;0.000220981;3.59E-05;0.000116383;3.23E-05;6.31E-05;0.000261651
889;0.00063504;6.35E-08;0.0002932;6.22E-06;0.009993119;2.45E-05;1.54E-05;0.000220239;3.60E-05;0.000116598;3.23E-05;6.32E-05;0.000276832
890;0.00063612;6.36E-08;0.0003116;6.27E-06;0.009955778;2.45E-05;1.54E-05;0.0002195;3.60E-05;0.000116808;3.24E-05;6.34E-05;0.000292522
891;0.0006372;6.37E-08;0.0003305;6.31E-06;0.009918618;2.45E-05;1.54E-05;0.000218764;3.61E-05;0.000117017;3.25E-05;6.35E-05;0.000308638
892;0.00063828;6.38E-08;0.0003491;6.35E-06;0.009881639;2.45E-05;1.54E-05;0.000218032;3.62E-05;0.000117227;3.25E-05;6.36E-05;0.000324498
893;0.00063936;6.39E-08;0.0003674;6.40E-06;0.009844838;2.45E-05;1.55E-05;0.000217303;3.62E-05;0.000117436;3.26E-05;6.37E-05;0.000340103
894;0.00064044;6.40E-08;0.0003833;6.44E-06;0.009808215;2.45E-05;1.55E-05;0.000216578;3.63E-05;0.000117646;3.27E-05;6.39E-05;0.000353668
895;0.00064152;6.42E-08;0.0003983;6.49E-06;0.00977177;2.45E-05;1.55E-05;0.000215856;3.63E-05;0.000117856;3.27E-05;6.40E-05;0.000366469
896;0.0006426;6.43E-08;0.0004121;6.55E-06;0.0097355;2.45E-05;1.55E-05;0.000215142;3.64E-05;0.000118076;3.28E-05;6.41E-05;0.000378251
897;0.00064368;6.44E-08;0.0004256;6.61E-06;0.009699405;2.45E-05;1.56E-05;0.000214431;3.65E-05;0.000118296;3.29E-05;6.42E-05;0.000389778
898;0.00064476;6.45E-08;0.0004384;6.67E-06;0.009663484;2.45E-05;1.56E-05;0.000213723;3.65E-05;0.000118516;3.30E-05;6.44E-05;0.00040071
899;0.00064584;6.46E-08;0.0004506;6.73E-06;0.009627736;2.45E-05;1.56E-05;0.000213019;3.66E-05;0.000118736;3.30E-05;6.45E-05;0.000411132
900;0.00064692;6.47E-08;0.0004633;6.79E-06;0.009592159;2.45E-05;1.57E-05;0.000212319;3.67E-05;0.000118956;3.31E-05;6.46E-05;0.000421979
901;0.000648;6.48E-08;0.0004766;6.85E-06;0.009556753;2.45E-05;1.57E-05;0.000211621;3.67E-05;0.000119174;3.32E-05;6.48E-05;0.000433336
